Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.3267E-17,-0.00062215,0.025317,0,0,0,0.15351,0.0001349,5.1034E-20,8.9997E-21,0.00013491,-2.7571E-08,7.78E-05,0,0,0,0,0,0,package://single＿arm_v2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single＿arm_v2/meshes/base_link.STL,,組合件1-1/轉接座-1;組合件1-1/轉接座-2;組合件1-1/定位塊_下-1;組合件1-1/定位塊_側-1;組合件1-1/轉接座_底-1;組合件1-1/轉接座-4;組合件1-1/定位塊_側-2;組合件1-1/轉接座-3,座標系統0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.000208969561899502,3.70415647875377E-06,-0.0914678034682378,0,0,0,0.356747175042505,0.000466935161399951,-1.39053669707838E-08,-4.18194497082418E-06,0.000471168600139652,7.79979816899343E-08,0.000169110112801691,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link1.STL,,組合件1-1/m1-1;第一軸_轉軸-1,座標系統1,axis1,Joint1,continuous,0,0,0.166,0,0,0.035583,base_link,0,0,1,,,,,,,,,,,,
Link2,0.0267138919983926,-0.000551681871358595,-0.0794495660665453,0,0,0,0.637415662122893,0.000729639362759575,1.15654793300562E-06,-4.09240061674875E-06,0.000781749941722208,-5.93794042473328E-07,0.000405758677952146,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link2.STL,,m2-1;墊背-1;b2-1;軸二左-1;第二軸_上_改-1;軸二右-1;Link1-1;第二軸_轉軸-1,座標系統2,axis2,Joint2,continuous,0.0037177,-0.10443,0.166,1.5708,-1.4653,0.035583,base_link,0,0,1,,,,,,,,,,,,
Link3,0.0287714458780937,0.000486530855206564,0.070422833788985,0,0,0,0.58382475134923,0.000530570540190881,-1.00386692094843E-06,3.32555743007372E-06,0.000584921945100324,-1.06538525812843E-06,0.000382901776733043,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link3.STL,,m3-1;墊背-2;b2-2;軸二左-2;第三軸_上_改-1;軸三左-1;Link2-1;第二軸_轉軸-2,座標系統3,axis3,Joint3,continuous,0.022524,0.00080181,0.37881,-1.5708,-1.393,-3.106,base_link,0,0,-1,,,,,,,,,,,,
Link4,-1.44241830598718E-05,-0.000237088430205645,-0.0815190126224092,0,0,0,0.313854171959485,0.000309055663727506,3.15842982335696E-08,-2.1341120240503E-07,0.000314206451539731,-3.50781233699246E-06,0.000148950383506142,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link4.STL,,m4-1;第五軸_轉軸-2,座標系統4,axis4,Joint4,continuous,-0.01164,-0.10358,0.58944,1.5708,-0.23859,0.035583,base_link,0,0,1,,,,,,,,,,,,
Link5,-7.75054120247254E-06,0.000237400315751118,-0.0815190126223736,0,0,0,0.313854171959485,0.000309054296972209,-1.6993505184371E-08,-1.1467216663642E-07,0.000314207818295028,3.51242680024222E-06,0.000148950383506142,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link5.STL,,m5-1;第五軸_轉軸-1,座標系統5,axis5,Joint5,continuous,-0.035991,-0.10445,0.68961,0.0079364,-0.23847,0.0019965,base_link,0,0,1,,,,,,,,,,,,
Link6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://single＿arm_v2/meshes/Link6.STL,,m6-1,座標系統6,axis6,Joint6,continuous,-0.035726,-0.17294,0.68909,1.5787,-0.23847,0.0019965,base_link,0,0,1,,,,,,,,,,,,
